X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-105.266010295458,40.757006537066,1,CO4075710526619890708,Extended,50340321988192,50340321990200,-970,50,232,450,40.757,-105.266,Wildfire,6,-150,1989/07/08 00:00:00+00,1547
-122.265013327628,38.8930050463562,2,CA3889312226520021001,Extended,50440332002188,50440332003300,-970,80,270,500,38.893,-122.265,Wildfire,16,-150,2002/10/01 00:00:00+00,1522
-83.704003970303,33.0750063134305,3,GA3307508370420070129,Extended,50180372006113,50180372007100,-970,120,344,610,33.075,-83.704,Prescribed Fire,24,-150,2007/01/29 00:00:00+00,1474
-100.712009951968,46.0340075701914,4,ND4603410071220031021,Initial (SS),NULL,70320282003300,-9999,-30,-210,-300,46.034,-100.712,Wildfire,24,-9999,2003/10/21 00:00:00+00,2119
-83.6470039551373,33.1020063213368,5,GA3310208364720080316,Extended,50180372007228,50180372008200,-970,20,253,9999,33.102,-83.647,Prescribed Fire,27,-150,2008/03/16 00:00:00+00,1338
-83.6700039581163,33.0280063043693,6,GA3302808367020090122,Initial,50180372008055,50180372009100,-970,60,219,9999,33.028,-83.67,Prescribed Fire,30,-150,2009/01/22 00:00:00+00,2195
-122.734013586949,40.3000051164387,7,CA4030012273420050810,Extended,50450322004169,50450322006200,-970,70,185,350,40.3,-122.734,Wildfire,36,-150,2005/08/10 00:00:00+00,2265
-120.683012700352,35.3920048490893,8,CA3539212068319940814,Initial,50430351990228,50430351994200,-970,80,168,310,35.392,-120.683,Wildfire,41,-150,1994/08/14 00:00:00+00,48441
-119.789012580146,35.6240049282163,9,CA3562411978919950601,Initial,50420351993197,50420351995200,-970,75,365,680,35.624,-119.789,Wildfire,46,-150,1995/06/01 00:00:00+00,4654
-108.487010736142,38.3930059975162,10,CO3839310848720020520,Initial,70350332001162,50350332002200,-970,160,372,635,38.393,-108.487,Wildfire,47,-150,2002/05/20 00:00:00+00,1618
-109.447010551074,34.2480053685949,11,AZ3424810944720090512,Initial,50350362008142,70350362009100,-970,64,179,9999,34.248,-109.447,Wildfire,55,-150,2009/05/12 00:00:00+00,4283
-112.238011740115,40.2680059551691,12,UT4025411222220120517,Initial,50380322011203,70380322012200,-970,50,300,9999,40.268,-112.238,Wildfire,73,-150,2012/05/17 00:00:00+00,1549
-91.1440063722476,37.6590069162456,13,MO3765809115520110403,Initial,70240342010142,50240342011100,-970,100,250,435,37.659,-91.144,Wildfire,75,-150,2011/04/03 00:00:00+00,961
-98.6360080285184,33.4670057827246,14,TX3346709863620090401,Initial (SS),NULL,50280372009100,-9999,-29,-9999,-9999,33.467,-98.636,Wildfire,79,-9999,2009/04/01 00:00:00+00,4018
-110.298010526109,31.3550049023421,15,AZ3135511029820060527,Initial,50350382005165,50350382006200,-970,130,154,250,31.355,-110.298,Wildfire,103,-150,2006/05/27 00:00:00+00,1696
-119.968013970714,45.1690057164792,16,OR4515911997920130510,Initial,70440292013130,80440292013200,-970,130,9999,9999,45.169,-119.968,Wildfire,121,-150,2013/05/10 00:00:00+00,1158
-121.167012948123,37.0960049753652,17,CA3709612116720030616,Initial,50430342002197,50430342003200,-970,120,352,625,37.096,-121.167,Wildfire,152,-150,2003/06/16 00:00:00+00,1703
-120.83401291024,37.2250050102754,18,CA3722512083420010613,Initial,50430342000224,50430342001200,-970,110,9999,9999,37.225,-120.834,Wildfire,165,-150,2001/06/13 00:00:00+00,1797
-100.261008352902,32.3040054994555,19,TX3231010029020140306,Initial,50290382011060,80290382014100,-970,40,300,9999,32.304,-100.261,Wildfire,173,-150,2014/03/06 00:00:00+00,1118
-95.9440078265506,39.3950069522867,20,KS3938409593320110413,Initial (SS),NULL,50270332011100,-9999,125,-9999,-9999,39.395,-95.944,Wildfire,182,-9999,2011/04/13 00:00:00+00,1575
-120.827014073504,44.9640056172545,21,OR4497512084120120713,Initial,50450292011236,70450292012200,-970,70,250,9999,44.964,-120.827,Wildfire,222,-150,2012/07/13 00:00:00+00,1193
-112.311011699964,39.8430059016659,22,UT3976811230220130815,Extended,50380322011203,80380322014200,-970,64,200,380,39.843,-112.311,Wildfire,222,-150,2013/08/15 00:00:00+00,1657
-103.389009117778,32.7410054360427,23,NM3274110338920090330,Initial,70310372009076,50310372009100,-970,90,9999,9999,32.741,-103.389,Wildfire,238,-150,2009/03/30 00:00:00+00,24831
